what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743672025
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743682104
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743747066
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743825018
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743825915
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743847212
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743848302
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743850761
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319743855431
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319745164803
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319745165875
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319745165980
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319745167076
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319745169090
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1319745169311
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1319745170360
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1320160637054
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1320160637055
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1320160637056
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1320160637057
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1320160637058
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1320160637058
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1320160637059
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1320160637060
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1320160637060
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1320160637061
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1320160637061
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1320160637062
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1320160637063
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1320160637063
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1320160637064
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1320160637065
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1320160637065
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1320160637066
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1320160637068
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1320160637068
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1320160637070
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1320160637070
